text,label
"Very good teaching",1
"Excellent explanation",1
"Loved the way concepts were taught",1
"Faculty explains clearly",1
"Very interactive session",1
"Amazing classroom teaching",1
"Simple and easy explanation",1
"Teacher made topic interesting",1
"Best teaching style",1
"Very helpful examples",1
"Concepts are crystal clear",1
"Outstanding explanation skills",1
"Very supportive faculty",1
"Class was highly informative",1
"Easy to understand lecture",1
"Well structured teaching",1
"Teacher has strong knowledge",1
"Very engaging class",1
"Practical examples were useful",1
"Excellent communication",1
"Good pace of teaching",1
"Wonderful classroom experience",1
"Faculty solved all doubts",1
"Very effective teaching",1
"Detailed explanation given",1
"One of the best classes",1
"Clear voice and explanation",1
"Loved today's session",1
"Interesting and useful lecture",1
"Great faculty support",1
"Examples made it easy",1
"Brilliant teaching method",1
"Highly understandable class",1
"Very nice explanation",1
"Teacher motivated students well",1
"Fantastic lecture delivery",1
"Excellent subject clarity",1
"Very productive class",1
"Class was easy to follow",1
"Teacher explained every step",1
"Bad teaching",0
"Not understandable",0
"Very confusing lecture",0
"Poor explanation",0
"Could not follow class",0
"Faculty speaks too fast",0
"No clarity in concepts",0
"Very boring class",0
"Examples were not useful",0
"Difficult to understand",0
"Poor classroom interaction",0
"Teacher skipped important points",0
"Very disappointing lecture",0
"No proper explanation",0
"Concepts remained unclear",0
"Monotonous teaching style",0
"Too much theory only",0
"No doubt clarification",0
"Class was not engaging",0
"Teacher rushed the topic",0
"Very bad experience",0
"Unclear voice and explanation",0
"Session lacked structure",0
"Could not grasp concepts",0
"Poor communication skills",0
"Class was messy",0
"No real examples given",0
"Hard to stay focused",0
"Teacher not interactive",0
"Lecture was ineffective",0
"Bad pace of teaching",0
"Too many doubts left",0
"Not satisfied with class",0
"Very weak explanation",0
"Poorly managed lecture",0
"Topic was left incomplete",0
"Teaching method was ineffective",0
"Unorganized class",0
"Class felt too difficult",0
"Worst teaching experience",0
"Average class",2
"Okay teaching",2
"Lecture was fine",2
"Normal classroom session",2
"Teaching was acceptable",2
"Concepts were somewhat clear",2
"It was an ordinary class",2
"Neither good nor bad",2
"Session was manageable",2
"Average explanation",2
"Faculty was okay",2
"Class was decent",2
"Moderate teaching quality",2
"Some parts were clear",2
"Can be improved",2
"Teaching style is normal",2
"Examples were average",2
"Class was satisfactory",2
"Topic was partly understandable",2
"Nothing special in class",2
"Usual teaching session",2
"Fair explanation",2
"It was okay overall",2
"Neutral experience",2
"Session was average",2
"Teaching is fine",2
"Explanation was decent",2
"Not bad, not great",2
"Class went normally",2
"Average faculty interaction",2
"Topic was manageable",2
"Lecture quality is medium",2
"Can understand with self study",2
"Some doubts remained",2
"Session was balanced",2
"Acceptable lecture",2
"Moderately useful class",2
"Just an average experience",2
"Fine but needs improvement",2
"Teaching was standard",2
